Actual Price,Linear Regression Predictions,Random Forest Regressor Predictions,Gradient Boosting Regressor Predictions,Optimized SVR Predictions,Neural Network Predictions
449999.0,476988.90219345316,449998.9999999997,450948.41447494057,468314.5281614967,488281.34
947000.0,894330.13156511,946999.9999999998,940829.0770343073,928677.7139122076,916909.56
659000.0,704061.0263915577,659000.0000000001,681181.1415546839,677313.2611026025,649386.5
797375.0,759212.4828179673,771289.72,733998.9451823664,746822.9475613177,757957.7
659000.0,704061.0263915577,659000.0000000001,681181.1415546839,677313.2611026025,649386.5
659000.0,704061.0263915577,659000.0000000001,681181.1415546839,677313.2611026025,649386.5
939900.0,751345.9885174047,939899.9999999997,924751.7936857739,921700.9137517624,922558.3
576000.0,637969.949077136,567802.7000000001,603191.3602746192,669768.963210829,642328.1
1034586.0,683370.2911640827,1010626.2199999997,803208.7679563515,665364.0915943254,811351.94
649000.0,634061.0580277366,624785.6866666668,586286.016727379,729999.5931715424,633597.1
