area,price,location
48.2,599000,"Wrocław, Krzyki"
41.0,585000,"Wrocław, Psie Pole"
54.0,790000,"Wrocław, Śródmieście"
23.0,279000,"Wrocław, Krzyki"
36.2,519000,"Wrocław, Stare Miasto"
120.0,4990000,"Wrocław, Krzyki"
42.0,822000,"Wrocław, Stare Miasto"
38.0,599000,"Wrocław, Stare Miasto"
53.11,961000,"Wrocław, Śródmieście"
62.0,499900,"Wrocław, Śródmieście"
48.0,589000,"Wrocław, Krzyki"
62.1,673000,"Wrocław, Krzyki"
66.0,829000,"Wrocław, Stare Miasto"
53.0,1690000,"Wrocław, Krzyki"
49.25,590000,"Wrocław, Krzyki"
49.0,806000,"Wrocław, Krzyki"
56.22,640000,"Wrocław, Psie Pole"
47.3,750000,"Wrocław, Fabryczna"
72.0,877000,"Wrocław, Krzyki"
67.2,780000,"Wrocław, Fabryczna"
40.25,629000,"Wrocław, Fabryczna"
45.0,649000,"Wrocław, Fabryczna"
43.36,670000,"Wrocław, Stare Miasto"
64.18,759999,"Wrocław, Śródmieście"
53.11,961000,"Wrocław, Śródmieście"
50.0,499000,"Wrocław, Stare Miasto"
39.1,505000,"Wrocław, Stare Miasto"
34.73,549000,"Wrocław, Krzyki"
65.0,789000,"Wrocław, Krzyki"
46.5,699000,"Wrocław, Śródmieście"
42.0,620000,"Wrocław, Krzyki"
47.3,573455,"Wrocław, Krzyki"
65.5,728000,"Wrocław, Psie Pole"
80.1,870000,"Wrocław, Śródmieście"
69.0,980000,"Wrocław, Stare Miasto"
88.61,1485600,"Wrocław, Krzyki"
50.0,790000,"Wrocław, Psie Pole"
74.08,999999,"Wrocław, Stare Miasto"
54.86,679000,"Wrocław, Psie Pole"
47.0,599999,"Wrocław, Krzyki"
77.78,769000,"Wrocław, Fabryczna"
60.09,729000,"Wrocław, Psie Pole"
52.5,999999,"Wrocław, Fabryczna"
54.0,660000,"Wrocław, Krzyki"
62.3,799000,"Wrocław, Krzyki"
54.86,679000,"Wrocław, Psie Pole"
39.1,505000,"Wrocław, Stare Miasto"
70.6,940000,"Wrocław, Fabryczna"
47.2,639000,"Wrocław, Fabryczna"
54.0,699000,"Wrocław, Fabryczna"
66.5,799000,"Wrocław, Psie Pole"
65.8,825000,"Wrocław, Krzyki"
69.0,690000,"Wrocław, Fabryczna"
78.91,844337,"Wrocław, Fabryczna"
59.88,670656,"Wrocław, Fabryczna"
29.7,490000,"Wrocław, Stare Miasto"
80.22,818244,"Wrocław, Fabryczna"
59.3,750000,"Wrocław, Śródmieście"
69.6,899000,"Wrocław, Psie Pole"
64.0,590000,"Wrocław, Krzyki"
50.0,499000,"Wrocław, Stare Miasto"
58.78,850000,"Wrocław, Fabryczna"
51.0,664700,"Wrocław, Stare Miasto"
72.0,650000,"Wrocław, Psie Pole"
42.0,822000,"Wrocław, Stare Miasto"
50.0,699000,"Wrocław, Psie Pole"
48.6,590000,"Wrocław, Fabryczna"
58.0,520000,Wrocław
54.98,659760,"Wrocław, Fabryczna"
54.66,850000,Wrocław
50.27,699000,"Wrocław, Psie Pole"
29.0,402900,"Wrocław, Stare Miasto"
52.0,590000,"Wrocław, Stare Miasto"
48.8,619700,"Wrocław, Fabryczna"
66.14,849000,"Wrocław, Psie Pole"
60.0,598500,"Wrocław, Fabryczna"
47.2,539000,"Wrocław, Śródmieście"
50.7,599000,"Wrocław, Krzyki"
40.67,525000,"Wrocław, Fabryczna"
58.58,819000,"Wrocław, Fabryczna"
48.0,585000,"Wrocław, Stare Miasto"
16.0,239000,"Wrocław, Śródmieście"
62.5,780000,"Wrocław, Fabryczna"
55.62,699000,"Wrocław, Fabryczna"
54.57,699000,"Wrocław, Krzyki"
38.9,485000,"Wrocław, Psie Pole"
53.0,580000,"Wrocław, Fabryczna"
36.88,569000,"Wrocław, Krzyki"
42.0,459000,"Wrocław, Śródmieście"
64.0,590000,"Wrocław, Krzyki"
45.39,570000,"Wrocław, Stare Miasto"
53.09,685000,"Wrocław, Krzyki"
43.5,913500,"Wrocław, Stare Miasto"
29.0,605850,"Wrocław, Stare Miasto"
52.0,724000,"Wrocław, Krzyki"
50.0,630000,"Wrocław, Stare Miasto"
36.19,530000,"Wrocław, Fabryczna"
49.88,699000,"Wrocław, Krzyki"
20.35,400000,"Wrocław, Stare Miasto"
26.5,389000,"Wrocław, Stare Miasto"
54.0,699000,"Wrocław, Fabryczna"
26.5,389000,"Wrocław, Fabryczna"
55.1,619000,"Wrocław, Fabryczna"
44.8,573000,"Wrocław, Krzyki"
34.74,495000,"Wrocław, Krzyki"
75.0,795000,"Wrocław, Śródmieście"
40.0,419000,"Wrocław, Śródmieście"
46.0,755000,"Wrocław, Śródmieście"
40.68,770000,"Wrocław, Krzyki"
46.0,1060000,"Wrocław, Stare Miasto"
38.9,485000,"Wrocław, Psie Pole"
46.5,699000,"Wrocław, Śródmieście"
52.04,624000,"Wrocław, Psie Pole"
51.75,679900,"Wrocław, Psie Pole"
58.58,819000,"Wrocław, Fabryczna"
28.3,375000,"Wrocław, Fabryczna"
71.95,925000,"Wrocław, Krzyki"
64.0,749000,"Wrocław, Stare Miasto"
79.0,749000,"Wrocław, Śródmieście"
35.67,449000,"Wrocław, Krzyki"
43.83,556203,"Wrocław, Krzyki"
40.81,476661,"Wrocław, Krzyki"
34.81,525000,"Wrocław, Krzyki"
42.0,549000,"Wrocław, Fabryczna"
52.22,667800,"Wrocław, Krzyki"
38.7,559000,"Wrocław, Psie Pole"
41.0,540000,"Wrocław, Krzyki"
66.86,599999,"Wrocław, Krzyki"
39.22,570000,"Wrocław, Krzyki"
59.93,629000,"Wrocław, Śródmieście"
69.0,814000,"Wrocław, Fabryczna"
58.0,634000,"Wrocław, Krzyki"
64.0,640000,"Wrocław, Psie Pole"
48.85,649000,"Wrocław, Krzyki"
61.2,829000,"Wrocław, Fabryczna"
47.9,695000,"Wrocław, Psie Pole"
69.6,899000,"Wrocław, Psie Pole"
36.8,530000,"Wrocław, Fabryczna"
34.7,320000,"Wrocław, Psie Pole"
49.1,540000,"Wrocław, Psie Pole"
97.0,890000,"Wrocław, Stare Miasto"
52.0,620000,"Wrocław, Krzyki"
63.8,640000,"Wrocław, Psie Pole"
66.0,680000,"Wrocław, Krzyki"
52.04,624000,"Wrocław, Psie Pole"
54.0,650000,"Wrocław, Stare Miasto"
53.5,535000,"Wrocław, Krzyki"
80.0,1265000,"Wrocław, Śródmieście"
54.1,529000,"Wrocław, Psie Pole"
32.0,430000,Wrocław
48.8,619700,"Wrocław, Fabryczna"
135.5,1590000,"Wrocław, Krzyki"
40.0,419000,"Wrocław, Stare Miasto"
78.42,840000,"Wrocław, Psie Pole"
64.2,963000,"Wrocław, Śródmieście"
52.42,499000,"Wrocław, Śródmieście"
73.5,1359000,"Wrocław, Śródmieście"
26.5,389000,"Wrocław, Stare Miasto"
34.67,589000,Wrocław
59.2,725000,"Wrocław, Krzyki"
24.0,395000,"Wrocław, Śródmieście"
52.0,560000,"Wrocław, Stare Miasto"
65.5,728000,"Wrocław, Psie Pole"
27.0,469000,"Wrocław, Stare Miasto"
43.36,670000,"Wrocław, Stare Miasto"
70.0,750000,"Wrocław, Fabryczna"
37.24,669000,"Wrocław, Fabryczna"
